StationID;Coordinates;Latitude;Longitude;NameOfStation;City;Opened
NA;55.48, 12.18;55.48;12.18;Koege;NA;1891
NA;55.40, 10.37;55.40;10.37;Odense;NA;1891
NA;55.68517466754428, 12.571416778771908;55.69;12.57;Gothersgade;Koebenhavn;1892
NA;55.40267441484245, 11.348719158224185;55.40;11.35;Slagelse;NA;1893
NA;55.71083798624156, 9.538623814013272;55.71;9.54;Vejle;NA;1895
NA;57.0440036303254, 9.926998569593975;57.04;9.93;Aalborg;NA;1895
NA;57.46410819741263, 9.979747333056837;57.46;9.98;Hjoerring;NA;1896
NA;55.49294924653616, 9.462860118652062;55.49;9.47;Kolding;NA;1898
NA;55.67206565338422, 12.56825292294572;55.67;12.57;Vestre Elvaerk;Koebenhavn;1898
NA;55.676881575212555, 12.536980011619075;55.68;12.54;Hortensiavaerket;Frederiksberg;1899
NA;57.44149227003539, 10.519365754515462;57.44;10.52;Frederikshavn;NA;1900
NA;55.513270295541524, 9.620816494196744;55.51;9.62;Skaerbaek;NA;1900
NA;55.18763489666815, 9.071391673865497;55.19;9.07;Toftlund;NA;1900
NA;54.89155135425684, 9.681048655632537;54.89;9.68;Broager;NA;1900
NA;56.15100313093301, 10.212201606129911;56.15;10.21;Aarhus;NA;1901
NA;55.247330555110146, 9.493819101597497;55.24;9.49;Haderslev;NA;1901
NA;55.699913004604454, 12.576078165808903;55.70;12.58;Oestre Elvaerk;Koebenhavn;1902
NA;55.43998776967994, 11.800134767439735;55.44;11.80;Ringsted;NA;1902
NA;55.51419336446019, 8.91319972674431;55.51;8.91;Holdsted Moelle;NA;1902
NA;55.46750912589481, 9.098524894465504;55.47;9.10;Forsoegsmoellen Askov;NA;1902
NA;55.95117116903326, 8.511302796022619;55.95;8.51;Skjern;NA;1902
NA;55.03288725531012, 9.409356815870614;55.03;9.41;Aabenraa;NA;1902
NA;55.762038810539664, 12.592903714806607;55.76;12.59;Skovshoved;NA;1903
NA;55.326951196113285, 11.96170634448069;55.33;11.96;Haslev;NA;1903
NA;55.44482730636496, 11.563421138406554;55.44;11.56;Soroe;NA;1903
NA;56.328568982534705, 10.051421903797426;56.33;10.05;Hadsten;NA;1903
NA;55.47146464533683, 9.137394586822884;55.47;9.14;Vejen;NA;1903
NA;54.96607212085228, 8.696131064894104;54.97;8.70;Hoejer;NA;1903
NA;56.01898950101405, 12.195215796907085;56.02;12.20;Helsinge;NA;1904
NA;55.341431945078824, 11.139121024807837;55.34;11.14;Korsoer;NA;1904
NA;55.22641663940661, 12.158547317424066;55.23;12.16;Fakse;NA;1904
NA;56.75037616512666, 8.422572200517203;56.75;8.42;Hurup Thy;NA;1904
NA;56.24733664405257, 9.866794275357961;56.25;9.87;Hammel;NA;1904
NA;55.63834874144666, 9.649552057445558;55.64;9.65;Boerkop;NA;1904
NA;55.75446882986641, 9.416516749872605;55.75;9.42;Jelling;NA;1904
NA;55.4262545773587, 9.292261863254012;55.43;9.30;Vamdrup;NA;1904
NA;55.910879449298896, 8.515912728795684;55.91;8.52;Tarm;NA;1904
